date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy,selected_plan_source
2031-10-16,158329.92386889737,21013.06981829012,3056.0968023635915,134260.75724824367,134260.75724824367,0.07131353007100132,0.06999243879877319,0.0,event_97,static_open_loop,static_open_loop
2031-10-17,53868.10535004116,20074.759483700815,3494.562606821614,30298.78325951873,164559.5405077624,0.06942512084797582,0.06905810312461075,0.0,event_97,static_open_loop,static_open_loop
2031-10-20,-132315.38880980032,25873.080425542546,4386.189269010025,-162574.6585043529,1984.882003409497,0.07744016678542617,0.07321909785564021,0.0,event_97,static_open_loop,static_open_loop
2031-10-21,-49776.08107244281,44430.23084924441,5222.52194977061,-99428.83387145783,-97443.95186804833,0.10654745600491101,0.10631032822025856,8498.353060194218,event_97,static_open_loop,static_open_loop
2031-10-22,-988944.9759900944,45721.137402335735,5812.490600731651,-1040478.6039931618,-1137922.5558612102,0.11489458222779596,0.11101416884000995,11667.325473217861,event_97,static_open_loop,static_open_loop
2031-10-23,-932554.3489426419,43787.70568403171,6049.797580122048,-982391.8522067956,-2120314.408068006,0.10444927891557737,0.10121178974358674,6389.626087088982,event_97,static_open_loop,static_open_loop
2031-10-24,1191091.9971170335,32984.400161058984,5801.007946113788,1152306.5890098608,-968007.8190581452,0.08146591090053948,0.08058537564023258,0.0,event_97,static_open_loop,static_open_loop
2031-10-27,-1480427.265138384,27024.497054928077,4872.078444728636,-1512323.8406380406,-2480331.659696186,0.0932536904346428,0.08824678073376224,0.0,event_97,static_open_loop,static_open_loop
2031-10-28,-161548.2673277089,16206.583716768519,4660.485021780518,-182415.3360662579,-2662746.995762444,0.07727141917850643,0.06671208160359157,0.0,event_97,static_open_loop,static_open_loop
2031-10-29,-326987.5294095756,19494.178010411175,5418.188527206628,-351899.8959471934,-3014646.8917096374,0.06386576876373923,0.059731784987532885,0.0,event_97,static_open_loop,static_open_loop
2031-11-04,18288.171462453633,19296.800574202854,2931.2800084237924,-3939.9091201730143,-3939.9091201730143,0.08264336128762712,0.07486684830897725,0.0,event_98,static_open_loop,static_open_loop
2031-11-05,-112507.94958630571,22169.561400909348,3232.931033149657,-137910.44202036472,-141850.35114053774,0.07510622176358604,0.07150177247708817,0.0,event_98,static_open_loop,static_open_loop
2031-11-06,363731.34949681256,29165.49420000435,4417.0785217050625,330148.7767751032,188298.42563456544,0.08386963609227258,0.08251230503490929,0.0,event_98,static_open_loop,static_open_loop
